Team,Opponent Team,Date,Site,Incident,Time,VAR Used
Burnley,Man City,Nov. 28,A,Bailey Peacock-Farrell own goal disallowed for offside in the build-up against Gabriel Jesus,77th minute,FOR
Burnley,Arsenal,Dec. 13,A,Granit Xhaka sent off for violent conduct on Ashley Westwood,58th minute,FOR
Burnley,Man United,Jan. 12,H,"Man United free-kick and Robbie Brady red-card review cancelled for foul in the build-up by Luke Shaw, who was booked",,NEUTRAL
Burnley,West Brom,Feb. 20,H,Semi Ajayi sent off for handball and denying an obvious goal-scoring opportunity,28th minute,FOR
Burnley,Arsenal,March 6,H,Penalty and red card for handball against Erik Pieters cancelled,85th minute,FOR
Burnley,Southampton,April 4,A,Penalty awarded (scored by Chris Wood) for foul on Erik Pieters by Kyle Walker-Peters,8th minute,FOR
Burnley,Wolves,April 25,A,Matej Vydra goal disallowed for offside,50th minute,AGAINST
Everton,West Brom,Sept. 19,H,Dominic Calvert-Lewin goal awarded after originally ruled out for offside,31st minute,FOR
Everton,Crystal Palace,Sept. 26,A,Penalty awarded (scored by Richarlison) for handball by Joel Ward,41st minute,FOR
Everton,Liverpool,Oct. 17,H,Jordan Henderson goal ruled out for offside against Sadio Mane,90th minute,FOR
Everton,Chelsea,Dec. 12,H,Penalty cancelled for offside against Dominic Calvert-Lewin,63rd minute,AGAINST
Everton,Leicester,Dec. 16,A,Penalty cancelled for challenge on Ayoze Perez by Andre Gomes,81st minute,FOR
Everton,Liverpool,Feb. 20,A,Penalty overturn review rejected after Trent Alexander-Arnold had brought down Dominic Calvert-Lewin,81st minute,FOR
Everton,Southampton,March 1,H,Michael Keane goal disallowed for offside in the build-up against Mason Holgate,25th minute,AGAINST
Everton,Arsenal,April 23,A,Arsenal penalty rescinded for offside in the build-up against Nicolas Pepe,51st minute,FOR
Chelsea,Liverpool,Sept. 20,H,Andreas Christensen sent off for denying a goal-scoring opportunity when bringing down Sadio Mane,45th minute,AGAINST
Chelsea,Everton,Dec. 12,A,Penalty cancelled for offside against Dominic Calvert-Lewin,63rd minute,FOR
Chelsea,Wolves,Dec. 15,A,Penalty cancelled for challenge on Pedro Neto by Reece James,81st minute,FOR
Chelsea,Arsenal,Dec. 26,A,Tammy Abraham goal awarded after incorrect offside,85th minute,FOR
Chelsea,Leicester,Jan. 19,A,Penalty cancelled as Jonny Evans' foul on Christian Pulisic was outside the area,39th minute,AGAINST
Chelsea,Sheffield United,Feb. 7,A,Penalty for Ben Chilwell's challenge on Chris Basham cancelled for offside,11th minute,FOR
Chelsea,Sheffield United,Feb. 7,A,Penalty awarded (scored by Jorginho) for Aaron Ramsdale's challenge on Timo Werner,58th minute,FOR
Chelsea,Man United,Feb. 28,H,Penalty review rejected for handball against Callum Hudson-Odoi,15th minute,FOR
Chelsea,Liverpool,March 4,A,Timo Werner goal disallowed for offside,24th minute,AGAINST
Chelsea,West Ham,April 24,A,Fabian Balbuena yellow card upgraded to red for foul on Ben Chilwell,79th minute,FOR
Chelsea,Arsenal,May 12,H,Christian Pulisic goal disallowed for offside,60th minute,AGAINST
Chelsea,Leicester,May 18,H,Timo Werner goal disallowed for handball,35th minute,AGAINST
Chelsea,Leicester,May 18,H,Penalty awarded (scored by Jorginho) after Timo Werner adjudged to have been fouled inside the area,65th minute,FOR
Fulham,Aston Villa,Sept. 28,H,Bobby Decordova-Reid goal disallowed for foul in the build-up by Aleksandar Mitrovic,56th minute,AGAINST
Fulham,Sheffield United,Oct. 18,A,Penalty awarded (scored by Billy Sharp) for foul on Jack Robinson by Aleksandar Mitrovic,85th minute,AGAINST
Fulham,Crystal Palace,Oct. 24,H,Aboubakar Kamara sent off for foul on Eberechi Eze,86th minute,AGAINST
Fulham,West Ham,Nov. 7,A,Penalty awarded (missed by Ademola Lookman) for foul on Tom Cairney by Saïd Benrahma,95th minute,FOR
Fulham,Leicester,Nov. 30,A,Penalty awarded (scored by Ivan Cavaleiro) for foul on Bobby De Cordova-Reid by Christian Fuchs,35th minute,FOR
