,Team,Opponent Team,Date,Site,Incident,Time,VAR used,Season,Type
0,Brighton & Hove Albion,West Ham,Aug. 17,H,"Brighton goal for Leandro Trossard ruled out for offside by Dan Burn, who created the goal",27th minute,AGAINST,2019-2020,OFFSIDE
1,Brighton & Hove Albion,Aston Villa,Oct. 19,A,Conor Hourihane goal ruled out for a foul by Wesley on Mat Ryan,42nd minute,FOR,2019-2020,FOUL
2,Brighton & Hove Albion,Everton,Oct. 26,H,Penalty awarded (scored by Neil Maupay) for foul on Aaron Connolly by Michael Keane,78th minute,FOR,2019-2020,PENALTY
3,Brighton & Hove Albion,Leicester,Nov. 23,H,Jamie Vardy penalty retaken after James Maddison scored the rebound with encroachment,80th minute,FOR,2019-2020,PENALTY
4,Brighton & Hove Albion,Arsenal ,Dec. 5,A,David Luiz goal disallowed for offside,63rd minute,FOR,2019-2020,OFFSIDE
5,Brighton & Hove Albion,Sheffield United ,Dec. 21,H,John Egan goal ruled out for handball,8th minute,FOR,2019-2020,HANDBALL
6,Brighton & Hove Albion,Sheffield United ,Dec. 21,H,Jack O'Connell goal disallowed for offside,54th minute,FOR,2019-2020,OFFSIDE
7,Brighton & Hove Albion,Tottenham,Dec. 26,A,Harry Kane goal ruled out for offside,24th minute,FOR,2019-2020,OFFSIDE
8,Brighton & Hove Albion,Bournemouth,Dec. 28,H,Dan Burn goal ruled out for offside,58th minute,AGAINST,2019-2020,OFFSIDE
9,Brighton & Hove Albion,Everton,Jan. 11,A,Goal for Dominic Calvert-Lewin ruled out for handball,75th minute,FOR,2019-2020,HANDBALL
10,Brighton & Hove Albion,West Ham,Feb. 1,A,Goal for Glenn Murray allowed after incorrect handball,79th minute,FOR,2019-2020,HANDBALL
11,Brighton & Hove Albion,Burnley,July 26,A,Jay Rodriguez goal ruled out for offside against Johann Berg Gudmundsson,57th minute,FOR,2019-2020,OFFSIDE
12,Manchester United,Arsenal,Sept. 30,H,"Pierre-Emerick Aubameyang goal, originally ruled out for offside, overturned on review",58th minute,AGAINST,2019-2020,OFFSIDE
13,Manchester United,Liverpool,Oct. 20,H,Sadio Mane goal ruled out for handball,43rd minute,FOR,2019-2020,HANDBALL
14,Manchester United,Norwich,Oct. 27,A,Penalty awarded (missed by Marcus Rashford) for foul on Daniel James by Ben Godfrey,25th minute,FOR,2019-2020,PENALTY
15,Manchester United,Norwich,Oct. 27,A,Penalty awarded (missed by Anthony Martial) for handball by Todd Cantwell,41st minute,FOR,2019-2020,PENALTY
16,Manchester United,Man City,Dec. 7,A,Penalty awarded (scored by Marcus Rashford) for foul on Rashford by Bernardo Silva,23rd minute,FOR,2019-2020,PENALTY
17,Manchester United,Liverpool,Jan. 19,A,Roberto Firmino goal disallowed for foul on David De Gea by Virgil van Dijk,25th minute,FOR,2019-2020,FOUL
18,Manchester United,Chelsea,Feb. 17,A,Kurt Zouma goal disallowed for foul on Brandon Williams by Cesar Azpilicueta,55th minute,FOR,2019-2020,FOUL
19,Manchester United,Chelsea,Feb. 17,A,Olivier Giroud goal disallowed for offside,77th minute,FOR,2019-2020,OFFSIDE
20,Manchester United,Watford,Feb. 23,H,Goal for Troy Deeney disallowed for handball by Craig Dawson,52nd minute,FOR,2019-2020,HANDBALL
21,Manchester United,Everton,March 1,A,Goal for Everton disallowed for offside against Gylfi Sigurdsson in front of David De Gea,92nd minute,FOR,2019-2020,OFFSIDE
22,Manchester United,Tottenham,June 19,A,Penalty awarded for a foul on Bruno Fernandes overturned,91st minute,AGAINST,2019-2020,PENALTY
23,Manchester United,Crystal Palace,July,A,Jordan Ayew goal disallowed for offside,55th minute,FOR,2019-2020,OFFSIDE
24,Manchester United,West Ham,July 22,H,Penalty awarded for a handball by Paul Pogba (scored by Michael Antonio),45th minute,AGAINST,2019-2020,PENALTY
25,Crystal Palace,West Ham,Oct. 5,A,Jordan Ayew goal awarded after originally being ruled out for offside,87th minute,FOR,2019-2020,OFFSIDE
26,Crystal Palace,Arsenal,Oct. 27,A,Penalty awarded for foul by Calum Chambers on Wilfried Zaha (initially booked for diving),32nd minute,FOR,2019-2020,PENALTY
27,Crystal Palace,Arsenal,Oct. 27,A,Sokratis goal disallowed for foul by Calum Chambers,83rd minute,FOR,2019-2020,FOUL
28,Crystal Palace,Liverpool,Nov. 23,H,James Tomkins goal ruled out for push by Jordan Ayew,43rd minute,AGAINST,2019-2020,FOUL
29,Crystal Palace,Southampton,Dec. 28,A,Goal for Max Meyer ruled out for offside by Wilfried Zaha in the build-up,15th minute,AGAINST,2019-2020,OFFSIDE
30,Crystal Palace,Norwich,Jan. 1,A,Connor Wickham goal awarded after originally being ruled out for offside,85th minute,FOR,2019-2020,OFFSIDE
31,Crystal Palace,Arsenal,Jan. 11,H,Pierre-Emerick Aubameyang sent off for foul on Max Meyer,65th minute,FOR,2019-2020,SENT OFF
32,Crystal Palace,Manchester City,Jan. 18,A,Penalty for handball against Jairo Riedewald cancelled,72nd minute,FOR,2019-2020,PENALTY
33,Crystal Palace,Sheffield United,Feb. 1,H,Red card for Joel Ward rescinded,74th minute,FOR,2019-2020,CARD
34,Crystal Palace,Aston Villa,July 12,A,Mamadou Sakho goal ruled out for handball,7th minute,AGAINST,2019-2020,HANDBALL
35,Crystal Palace,Aston Villa,July 12,A,"Penalty cancelled, awarded for foul on Jack Grealish by Patrick van Aanholt",47th minute,FOR,2019-2020,PENALTY
36,Crystal Palace,Man United,July,H,Jordan Ayew goal disallowed for offside,55th minute,AGAINST,2019-2020,OFFSIDE
37,Burnley,Aston Villa,Sept. 28,A,"Goal for Villa's John McGinn ruled out on review, Conor Hourihane offside in build-up",25th minute,FOR,2019-2020,OFFSIDE
38,Burnley,Leicester,Oct. 21,A,Jonny Evans own goal ruled out due to a foul by Chris Wood,80th minute,AGAINST,2019-2020,FOUL
39,Burnley,Chelsea,Oct. 26,H,Penalty overturned for diving by Callum Hudson-Odoi,76th minute,FOR,2019-2020,PENALTY
40,Burnley,West Ham,Nov. 9,H,Chris Wood goal disallowed for offside,36th minute,AGAINST,2019-2020,OFFSIDE
41,Burnley,Watford,Nov. 23,A,Penalty (scored by Barnes) awarded for foul on Ashley Barnes by Jose Holebas,80th minute,FOR,2019-2020,PENALTY
42,Burnley,Aston Villa,Jan. 1,H,"Goal for Villa's Jack Grealish ruled out on review, Wesley offside in build-up",11th minute,FOR,2019-2020,OFFSIDE
43,Burnley,Bournemouth,Feb. 22,H,Goal for Josh King ruled out for handball in build-up by Philip Billing,22nd minute,FOR,2019-2020,HANDBALL
44,Burnley,Bournemouth,Feb. 22,H,"Goal for Harry Wilson ruled out for handball by Bournemouth's Adam Smith, penalty awarded and scored by Jay Rodriguez",57th minute,FOR,2019-2020,PENALTY
45,Burnley,Man City,June 22,A,Penalty given (scored by Riyad Mahrez) for a foul by Ben Mee on Sergio Aguero,45th minute,AGAINST,2019-2020,PENALTY
46,Burnley,Norwich,July 18,A,Red card for Emiliano Buendia for an elbow on Ashley Westwood,33rd minute,FOR,2019-2020,CARD
47,Burnley,Brighton,July 26,H,Jay Rodriguez goal ruled out for offside against Johann Berg Gudmundsson,57th minute,AGAINST,2019-2020,OFFSIDE
48,Newcastle,Sheffield United,Dec. 5,A,"Jonjo Shelvey goal, originally ruled out for offside, cleared by the VAR",70th minute,FOR,2019-2020,OFFSIDE
49,Newcastle,Southampton,March 7,A,Moussa Djenepo sent off for challenge on Isaac Hayden,28th minute,FOR,2019-2020,SENT OFF
50,Newcastle,Southampton,March 7,A,Penalty awarded for handball by Sofiane Boufal,40th minute,FOR,2019-2020,PENALTY
51,Southampton,Sheffield United,Sept. 14,A,Oliver McBurnie's goal disallowed for offside,52nd minute,FOR,2019-2020,OFFSIDE
52,Southampton,AFC Bournemouth,Sept. 20,H,"Josh King scored for the Cherries, but he was offside",25th minute,FOR,2019-2020,OFFSIDE
53,Southampton,Wolves,Oct. 19,A,Raul Jimenez goal ruled out for offside against Patrick Cutrone,42nd minute,FOR,2019-2020,OFFSIDE
54,Southampton,Leicester,Oct. 25,H,Ryan Bertrand sent off for challenge on Ayoze Perez,12th minute,AGAINST,2019-2020,SENT OFF
55,Southampton,West Ham,Dec. 14,H,Goal for Michail Antonio ruled out for handball,52nd minute,FOR,2019-2020,HANDBALL
56,Southampton,Crystal Palace,Dec. 28,H,Goal for Max Meyer ruled out for offside by Wilfried Zaha in the build-up,15th minute,FOR,2019-2020,OFFSIDE
57,Southampton,Leicester,Jan. 11,A,Penalty for Southampton cancelled for offside against Shane Long in build-up,63rd minute,AGAINST,2019-2020,PENALTY
58,Southampton,Leicester,Jan. 11,A,Jonny Evans goal ruled out for offside,90th minute,FOR,2019-2020,OFFSIDE
59,Southampton,Wolves,Jan. 18,H,Penalty awarded (scored by Raul Jimenez) for foul on Jonny by Jack Stephens,65th minute,AGAINST,2019-2020,PENALTY
60,Southampton,Newcastle,March 7,H,Moussa Djenepo sent off for challenge on Isaac Hayden,28th minute,AGAINST,2019-2020,SENT OFF
61,Southampton,Newcastle,March 7,H,Penalty awarded (missed by Matt Ritchie) for handball by Sofiane Boufal,40th minute,AGAINST,2019-2020,PENALTY
62,Southampton,Bournemouth,July 19,A,Penalty awarded (missed by Danny Ings) for handball by Harry Wilson,57th minute,FOR,2019-2020,PENALTY
63,Southampton,Bournemouth,July 19,A,"Sam Surridge goal disallowed, Callum Wilson offside",94th minute,FOR,2019-2020,OFFSIDE
64,Liverpool,Chelsea,Sept. 22,A,Chelsea goal ruled out after Mason Mount was offside in the build-up to Cesar Azpilicueta's goal,27th minute,FOR,2019-2020,OFFSIDE
65,Liverpool,Man United,Oct. 20,A,Sadio Mane goal ruled out for handball,43rd minute,AGAINST,2019-2020,HANDBALL
66,Liverpool,Crystal Palace,Nov. 23,A,James Tomkins goal ruled out for push by Jordan Ayew,43rd minute,FOR,2019-2020,FOUL
67,Liverpool,Watford,Dec. 14,H,Sadio Mane goal ruled out for offside,51st minute,AGAINST,2019-2020,OFFSIDE
68,Liverpool,Wolves,Dec. 29,H,Goal for Sadio Mane given after originally ruled out for handball by Adam Lallana,42nd minute,FOR,2019-2020,HANDBALL
69,Liverpool,Wolves,Dec. 29,H,Goal for Pedro Neto ruled out for offside in the build-up by Jonny,45th minute,FOR,2019-2020,OFFSIDE
70,Liverpool,Man United,Jan. 19,H,Roberto Firmino goal disallowed for foul on David De Gea by Virgil van Dijk,25th minute,AGAINST,2019-2020,FOUL
71,Liverpool,Man City,July 2,A,City goal for Riyad Mahrez ruled out for handball by Phil Foden in the build-up,90th minute,FOR,2019-2020,HANDBALL
72,Leicester City,Wolves,Aug. 11,H,Wolves goal for Leander Dendoncker disallowed for handball in build-up by Willy Boly,51st minute,FOR,2019-2020,HANDBALL
73,Leicester City,Tottenham,Sept. 21,H,Goal disallowed for offside against Ayoze Perez,16th minute,AGAINST,2019-2020,OFFSIDE
74,Leicester City,Tottenham,Sept. 21,H,Son Heung-Min offside in build-up to Serge Aurier goal,64th minute,FOR,2019-2020,OFFSIDE
75,Leicester City,Burnley,Oct. 21,H,Jonny Evans own goal ruled out due to a foul by Chris Wood,80th minute,FOR,2019-2020,FOUL
76,Leicester City,Southampton,Oct. 25,A,Ryan Bertrand sent off for challenge on Ayoze Perez,12th minute,FOR,2019-2020,SENT OFF
77,Leicester City,Brighton,Nov. 23,A,Jamie Vardy penalty retaken after James Maddison scored the rebound with encroachment,80th minute,AGAINST,2019-2020,PENALTY
78,Leicester City,Everton,Dec. 1,H,Penalty for foul on Ben Chilwell by Mason Holgate cancelled,34th minute,AGAINST,2019-2020,PENALTY
79,Leicester City,Everton,Dec. 1,H,"Kelechi Iheanacho effort, originally ruled offside, given as a goal",94th minute,FOR,2019-2020,OFFSIDE
80,Leicester City,Southampton,Jan. 11,H,Penalty for Southampton cancelled for offside against Shane Long in build-up,63rd minute,FOR,2019-2020,PENALTY
81,Leicester City,Southampton,Jan. 11,H,Jonny Evans goal ruled out for offside,90th minute,AGAINST,2019-2020,OFFSIDE
82,Leicester City,Wolves,Feb. 14,A,Wolves goal for Willy Boly disallowed for offside in build-up by Pedro Neto,44th minute,FOR,2019-2020,OFFSIDE
83,Leicester City,Man City,Feb. 22,H,Penalty (missed by Sergio Aguero) awarded for handball against Dennis Praet,minute,AGAINST,2019-2020,PENALTY
84,Leicester City,Norwich,Feb. 28,A,Goal for Kelechi Iheanacho disallowed for handball,49th minute,AGAINST,2019-2020,HANDBALL
85,Leicester City,Everton,July 1,A,Penalty awarded (scored by Gylfi Sigurdsson) for handball against Wilfred Ndidi,13th minute,AGAINST,2019-2020,PENALTY
86,Leicester City,Arsenal,July 7,A,Edward Nketiah sent off for foul on James Justin,75th minute,FOR,2019-2020,SENT OFF
87,Tottenham Hotspur,Man City,Aug. 17,A,City goal for Gabriel Jesus ruled out for handball in build-up by Aymeric Laporte,90th minute,FOR,2019-2020,HANDBALL
88,Tottenham Hotspur,Leicester,Sept. 21,A,Goal disallowed for offside against Ayoze Perez,16th minute,FOR,2019-2020,OFFSIDE
89,Tottenham Hotspur,Leicester,Sept. 21,A,Son Heung-Min offside in build-up to Serge Aurier goal,64th minute,AGAINST,2019-2020,OFFSIDE
90,Tottenham Hotspur,Sheffield United,Nov. 9,H,Goal for David McGoldrick disallowed for offside in build-up by John Lundstram,60th minute,FOR,2019-2020,OFFSIDE
91,Tottenham Hotspur,West Ham,Nov. 23,A,Declan Rice goal disallowed for offside,89th minute,FOR,2019-2020,OFFSIDE
92,Tottenham Hotspur,Chelsea,Dec. 22,H,Penalty (scored by Willian) awarded for foul by Paulo Gazzaniga on Marcos Alonso,45th minute,AGAINST,2019-2020,PENALTY
93,Tottenham Hotspur,Chelsea,Dec. 22,H,Son Heung-Min sent off for foul on Antonio Rudiger,62nd minute,AGAINST,2019-2020,SENT OFF
94,Tottenham Hotspur,Brighton,Dec. 26,H,Harry Kane goal ruled out for offside,24th minute,AGAINST,2019-2020,OFFSIDE
95,Tottenham Hotspur,Norwich,Dec. 28,A,Teemu Pukki goal ruled out for offside,33rd minute,FOR,2019-2020,OFFSIDE
96,Tottenham Hotspur,Manchester City,Feb. 2,H,Penalty (missed by Ilkay Gundogan) awarded for foul by Serge Aurier on Sergio Aguero,38th minute,AGAINST,2019-2020,PENALTY
97,Tottenham Hotspur,Aston Villa,Feb. 16,A,Penalty (missed by Son Heung-Min but scored on the rebound) awarded for foul by Bjorn Engels on Steven Bergwijn,45th minute,FOR,2019-2020,PENALTY
98,Tottenham Hotspur,Man United,June 19,H,Penalty awarded for a foul on Bruno Fernandes overturned,91st minute,FOR,2019-2020,PENALTY
99,Tottenham Hotspur,West Ham,June 23,H,Son Heung-Min goal disallowed for offside,45th minute,AGAINST,2019-2020,OFFSIDE
100,Tottenham Hotspur,Sheffield United,July 2,A,Goal for Harry Kane ruled out for handball in the build-up by Lucas Moura,32nd minute,AGAINST,2019-2020,HANDBALL
101,Tottenham Hotspur,AFC Bournemouth,July 9,A,Goal for Callum Wilson ruled out for handball by Josh King,90th minute,FOR,2019-2020,HANDBALL
102,Manchester City,West Ham,Aug. 10,A,City goal for Gabriel Jesus ruled out for an offside against Raheem Sterling earlier in the move,53rd minute,AGAINST,2019-2020,OFFSIDE
103,Manchester City,West Ham,Aug. 10,A,Missed City penalty retaken due to encroachment by Declan Rice. Retake scored by Sergio Aguero,86th minute,FOR,2019-2020,PENALTY
104,Manchester City,Tottenham,Aug. 17,A,City goal for Gabriel Jesus ruled out for handball in build-up by Aymeric Laporte,90th minute,AGAINST,2019-2020,HANDBALL
105,Manchester City,Man United,Dec. 7,H,Penalty awarded (scored by Marcus Rashford) for foul on Rashford by Bernardo Silva,23rd minute,AGAINST,2019-2020,PENALTY
106,Manchester City,Wolves,Dec. 27,A,Penalty awarded (missed by Raheem Sterling) for foul on Riyad Mahrez by Leander Dendoncker,21st minute,FOR,2019-2020,PENALTY
107,Manchester City,Wolves,Dec. 27,A,Missed City penalty retaken due to encroachment by Connor Coady . Retake scored by on rebound by Raheem Sterling,25th minute,FOR,2019-2020,PENALTY
108,Manchester City,Sheffield United,Dec. 29,H,Goal for Lys Mousset ruled out for offside,29th minute,FOR,2019-2020,OFFSIDE
109,Manchester City,Everton,Jan. 1,H,Goal for Phil Foden ruled out for offside in build-up by Joao Cancelo,12th minute,AGAINST,2019-2020,OFFSIDE
110,Manchester City,Crystal Palace,Jan. 18,H,Penalty for handball against Jairo Riedewald cancelled,72nd minute,AGAINST,2019-2020,PENALTY
111,Manchester City,Tottenham,Feb. 2,A,Penalty (missed by Ilkay Gundogan) awarded for foul by Serge Aurier on Sergio Aguero,38th minute,FOR,2019-2020,PENALTY
112,Manchester City,Leicester,Feb. 22,A,Penalty (missed by Sergio Aguero) awarded for handball against Dennis Praet,minute,FOR,2019-2020,PENALTY
